,player_name,age,pos,mp,pts,ast,trb,stl,blk,fg_pct,3p_pct,ft_pct,tov,fga,3pa,2pa,fta,orb,drb,per,bpm,vorp,usg
372,Jay Huff,26,C,748,21.1,1.8,6.2,0.8,2.7,0.515,0.405,0.786,1.6,14.7,9.6,5.1,2.7,1.4,4.8,18.2,3.5,1.1,19.6
373,Drew Eubanks,27,C,746,13.5,2.6,10.9,0.6,1.9,0.593,0.5,0.662,2,9.4,0.3,9.1,3.4,2.9,8,15.6,-0.7,0.3,15.1
374,Drew Eubanks,27,C,568,13.6,2.9,10.6,0.6,2,0.607,0.6,0.632,2,9.2,0.3,8.9,3.6,2.5,8.1,15.9,0,0.3,14.8
375,Talen Horton-Tucker,24,SG,724,18.8,4.1,5,1,0.5,0.457,0.336,0.735,2,14.5,6.1,8.4,4.9,0.9,4,13.8,-2.4,-0.1,21.6
376,Gary Harris,30,SG,711,7.3,1.5,3.2,1.3,0.6,0.383,0.356,0.583,0.9,6.7,5.1,1.6,0.6,1,2.2,6.9,-2.7,-0.1,9.5
377,Micah Potter,26,C,705,8.3,1.6,8.4,0.7,0.7,0.422,0.316,0.85,1.6,6.9,5,1.9,1,2.2,6.2,8.5,-3.5,-0.3,10.3
378,Jett Howard,21,SF,701,13.7,2.3,3.6,0.7,0.6,0.374,0.296,0.696,1.8,13.5,9.6,3.9,1.2,1,2.6,7.1,-5.3,-0.6,19.2
379,Quinten Post,24,PF,686,17.8,2.9,7.8,0.8,0.9,0.449,0.408,0.778,1.7,14.4,9.4,5,1.4,1.8,5.9,14.2,0.1,0.4,19.6
380,Blake Wesley,21,SG,683,11.4,6,3.2,2,0.3,0.435,0.293,0.623,2.8,9.8,3.1,6.7,3.2,0.9,2.3,9.9,-4.2,-0.4,16.7
381,Sandro Mamukelashvili,25,PF,681,20.4,2.5,9.9,1.2,0.9,0.502,0.373,0.741,1.4,14.9,8.5,6.3,3.1,3.3,6.6,19.7,2.3,0.7,20.8
382,Marcus Smart,30,PG,680,16.1,5.8,3.8,2.1,0.5,0.393,0.348,0.761,2.9,13.6,7.5,6.1,3.8,1,2.9,12.4,-1.5,0.1,20.6
383,Jalen Pickett,25,SG,666,10.8,5.8,3.8,1,0.3,0.428,0.396,0.75,1.3,9.7,5.5,4.3,0.4,0.8,3,10.9,-1.5,0.1,13.2
384,Tosan Evbuomwan,23,SF,665,14.5,3,6.5,1.3,0.5,0.427,0.312,0.753,2.1,11.9,4.2,7.7,4,1.7,4.8,11.6,-3.2,-0.2,19.1
385,Antonio Reeves,24,SG,660,16.6,2.1,3.4,1.1,0.2,0.456,0.395,0.8,1.6,13.5,7,6.5,1.9,1,2.5,11.7,-3.2,-0.2,18.8
386,Kyle Lowry,38,PG,659,7.5,5.2,3.7,1.8,0.6,0.35,0.33,0.818,1.1,6.4,4.8,1.6,1.8,0.6,3.1,9.8,-1.3,0.1,10.1
387,Reed Sheppard,20,PG,654,12.6,4.1,4.3,1.9,0.9,0.351,0.338,0.813,2,13.2,7.8,5.3,0.9,0.9,3.4,9.7,-1.7,0.1,17.8
388,Herbert Jones,26,SF,648,11.4,3.6,4.3,2.1,0.5,0.436,0.306,0.825,1.9,9.6,4,5.6,2.2,1.2,3.1,10.4,-3.6,-0.3,14.6
389,AJ Johnson,20,SG,639,12.4,4.3,3.3,0.7,0.2,0.385,0.267,0.865,2,12,5.1,6.9,2.1,0.5,2.9,7.1,-8.1,-1,17.4
390,AJ Johnson,20,SG,595,12.1,4.2,3.1,0.7,0.2,0.381,0.247,0.886,1.9,11.7,5.1,6.6,2.1,0.5,2.7,6.9,-8.3,-0.9,17
391,Maxi Kleber,33,PF,637,5.8,2.4,5.4,0.5,1,0.385,0.265,0.762,1.3,5.4,2.8,2.7,1.2,1.4,4,5.6,-3.8,-0.3,8.7
392,Delon Wright,32,PG,635,7.1,4.4,3.7,2,0.7,0.344,0.274,0.6,1.2,7.4,4.1,3.3,1.4,1.5,2.2,9.2,-1.4,0.1,11.3
393,Josh Okogie,26,SG,625,16.3,1.9,6.5,2.8,1,0.443,0.348,0.741,1.8,12.2,5.3,6.9,4.9,2.6,3.9,16.3,1.5,0.6,19.5
394,Jeff Dowtin,27,PG,621,16.5,4.5,3.5,1.4,0.7,0.487,0.4,0.733,0.9,13.3,4.1,9.3,2.6,0.7,2.8,16.1,0.2,0.3,18.6
395,Daniel Theis,32,C,621,9.4,3.5,9.5,1,1.2,0.473,0.243,0.838,1.4,7.5,2.1,5.3,2.1,2.6,7,12.1,-3.3,-0.2,11.6
396,Cory Joseph,33,PG,612,10.4,4.2,4.4,1.5,0.2,0.403,0.364,0.778,1.1,9.1,6.3,2.8,1.1,1,3.4,10.9,-0.8,0.2,12.8
397,Zeke Nnaji,24,PF,608,10.9,1.4,5.3,1.5,2.3,0.496,0.327,0.614,0.8,8.3,3.1,5.3,2.6,2,3.4,12,-1.3,0.1,12.2
398,Kessler Edwards,24,SF,608,9.9,2.5,6.8,1.1,1.2,0.496,0.407,0.923,0.9,8,3.2,4.8,0.8,1.3,5.5,11.3,-1.4,0.1,11.1
399,Pat Connaughton,32,SG,603,12.9,4.2,6.5,0.5,0.7,0.469,0.321,0.774,1.4,10.6,4.8,5.7,1.9,1.1,5.4,12.1,-2.3,0,15.6
400,Ajay Mitchell,22,SG,597,14.1,3.9,4.1,1.5,0.2,0.495,0.383,0.829,1.7,11.1,3.6,7.5,2.1,1.1,3,12,-1.6,0.1,16.2
401,Brandon Ingram,27,SF,595,24.2,5.6,6.1,1,0.7,0.465,0.374,0.855,4.2,20.1,7,13.2,3.3,1,5,16,-0.3,0.3,30.2
402,Jared McCain,20,SG,592,21.4,3.6,3.4,0.9,0,0.46,0.383,0.875,2.3,16.7,8.1,8.6,3.4,0.8,2.6,15.2,0.2,0.3,24.7
403,Cam Reddish,25,SF,589,6.4,1.3,4,2,0.6,0.404,0.277,0.615,0.7,5.7,2.9,2.9,1.6,1,3,7.4,-2.7,-0.1,8.8
404,Jae'Sean Tate,29,SF,588,11.5,2.9,7.2,1.6,0.4,0.473,0.348,0.681,1.3,9.1,2.8,6.2,2.9,3.1,4.1,12.3,-0.7,0.2,13.3
405,Olivier-Maxence Prosper,22,PF,584,12.4,2.5,7.8,1.6,0.4,0.402,0.235,0.645,0.9,10.7,3.1,7.6,4.7,2.7,5.1,12.6,-2.1,0,16.3
406,Jarred Vanderbilt,25,PF,581,9.1,2.5,11.3,2.2,0.6,0.488,0.281,0.556,1.8,7.5,2,5.5,2.2,4.2,7.1,13.2,-1,0.2,12.5
407,Joel Embiid,30,C,574,28.3,5.3,9.7,0.9,1.1,0.444,0.299,0.882,3.9,19.8,4.8,14.9,10.6,2.3,7.5,23.4,3.5,0.8,34.2
408,Monte Morris,29,PG,571,14.7,4.6,4.2,1.3,0.2,0.426,0.36,0.857,1.3,12.3,5.4,6.9,2.6,0.8,3.5,13.1,-1.8,0,18.1
409,Moritz Wagner,27,C,564,24.6,2.7,9.4,1.5,0.8,0.562,0.36,0.718,3.1,15.9,4.8,11.1,7,2.6,6.9,22.3,4,0.9,26.8
410,Malcolm Brogdon,32,PG,564,19.5,6.3,5.8,0.8,0.3,0.433,0.286,0.88,2.4,15.3,3.6,11.7,5.9,1.3,4.5,15.8,-1.5,0.1,23.7
411,John Konchar,28,SG,558,7.2,2.7,9.7,1.9,0.9,0.451,0.371,0.875,1,5.9,4,1.9,0.5,2.4,7.4,12.1,1.7,0.5,8
412,Dwight Powell,33,C,551,7.4,3.6,7.7,1.2,1.4,0.689,0.4,0.651,1.2,4,0.3,3.7,2.8,3.1,4.6,12.9,0,0.3,7.6
413,Dillon Jones,23,SF,551,8.8,3.8,7.9,1,0.3,0.383,0.254,0.607,1.8,8.7,4.1,4.6,1.8,2,5.9,8.1,-4,-0.3,13.3
414,Jordan Goodwin,26,PG,543,10.7,2.8,7.4,2,0.7,0.438,0.382,0.818,1.7,9.5,4.5,5,0.7,2.5,4.9,12.1,-0.8,0.2,14.1
